Food_Ingredient,Category,Health_Label,Nutrition_Score,Remarks
Potassium nitrate variant 988 variant 677 variant 421 variant 88 variant 631,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Mustard oil variant 655 variant 609 variant 190 variant 519,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Cumin variant 856 variant 741 variant 957,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium benzoate variant 650 variant 655 variant 531 variant 416 variant 207,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Microcrystalline cellulose variant 411 variant 869 variant 175 variant 977,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Rock salt variant 675 variant 906 variant 96 variant 587,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Aspartame,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Beta carotene variant 738,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium acetate variant 628 variant 812 variant 45,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Acesulfame potassium variant 948 variant 44 variant 572 variant 194,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Hydrogenated oil variant 29 variant 846,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Bleaching agent variant 79 variant 453,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Guar gum variant 695 variant 589 variant 945,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Magnesium oxide,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Cumin variant 754,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium phosphate variant 45 variant 146,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Sodium aluminosilicate variant 282 variant 626 variant 668 variant 1,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Triethyl citrate variant 474 variant 869 variant 772 variant 933 variant 992,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Olive oil variant 577 variant 581,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Coconut sugar variant 769 variant 796 variant 875 variant 991 variant 626 variant 51,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium lauryl sulfate variant 669 variant 171,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Brown rice variant 136,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Riboflavin variant 275 variant 624 variant 822,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Niacinamide variant 547 variant 498 variant 502 variant 583,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium benzoate variant 159 variant 224 variant 956,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Polydextrose variant 335 variant 240,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Rock salt variant 675 variant 148,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Beetroot powder,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Acesulfame potassium variant 813 variant 851,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Cardamom variant 219,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Microcrystalline cellulose,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Chemical stabilizer variant 442 variant 312 variant 687,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Turmeric oleoresin variant 956 variant 761 variant 796,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Benzoyl peroxide variant 542 variant 658 variant 185,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Himalayan pink salt variant 709,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Formaldehyde variant 972,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Mineral oil variant 86,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Quinoa variant 970,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Phosphoric acid variant 975 variant 635 variant 6 variant 913,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium aluminosilicate variant 282 variant 626 variant 622,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Riboflavin variant 275 variant 624 variant 895,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium gluconate,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Flavor enhancer 635 variant 971,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Ferric pyrophosphate variant 175 variant 262 variant 59 variant 525,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Potassium nitrate variant 988 variant 160 variant 605 variant 599 variant 669,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Potassium nitrate variant 560 variant 183 variant 737,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Riboflavin variant 44,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Pea protein variant 430 variant 110 variant 372,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Vegetable fiber variant 71 variant 365 variant 630,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium benzoate variant 650 variant 48 variant 23,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Rock salt variant 675 variant 906 variant 96,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Polydextrose variant 335 variant 26 variant 940,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Dimethylpolysiloxane variant 170 variant 343 variant 129 variant 111 variant 917,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Inulin,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ammonium bicarbonate variant 565 variant 68,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Black pepper variant 32 variant 612,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Potassium nitrate variant 560 variant 459 variant 523 variant 456 variant 950,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Himalayan pink salt variant 153,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium benzoate variant 650 variant 438,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Potassium nitrate variant 988 variant 237 variant 582,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Cumin variant 856 variant 170,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Niacinamide variant 547 variant 498 variant 322 variant 757,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Propionate preservative variant 424 variant 691 variant 325 variant 95,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Microcrystalline cellulose variant 411 variant 869 variant 175 variant 250,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Riboflavin variant 275 variant 624 variant 895 variant 32,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Disodium inosinate variant 755 variant 480,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Brown sugar variant 404 variant 769,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium carbonate variant 105,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium carbonate,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Curry leaves,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Bamboo shoot extract,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Propionate preservative variant 424 variant 691 variant 325,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Propylene glycol variant 110,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Propionate preservative variant 424 variant 691 variant 325 variant 924,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Fumaric acid variant 682 variant 664 variant 96,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Cold pressed coconut oil variant 921 variant 221 variant 439 variant 158,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Propylene glycol alginate,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Propionate preservative variant 918,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Flax seeds variant 853 variant 313 variant 336 variant 714 variant 63,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Oats variant 743 variant 887,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Propylene glycol alginate variant 627 variant 113,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Jaggery,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium phosphate variant 965 variant 301,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium benzoate variant 650 variant 438 variant 436,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Pea protein variant 361 variant 794,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Mannitol variant 786 variant 461,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Olive oil variant 577 variant 850 variant 515 variant 501,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Alkali treated cocoa,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Cashews variant 631,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Soy lecithin variant 698 variant 837 variant 792,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Spirulina,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Ferrous fumarate variant 101,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sulphur dioxide variant 370 variant 15 variant 114,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Isinglass variant 841 variant 222,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ferric pyrophosphate variant 432 variant 829 variant 890,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Black salt variant 236 variant 892,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium nitrite variant 854 variant 656 variant 628,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Propylene glycol variant 925 variant 724 variant 949 variant 196 variant 187,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Almonds variant 287 variant 622 variant 152,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Cellulose gum variant 511,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Beta carotene variant 244,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Cardamom variant 219 variant 195 variant 232,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Cumin variant 856,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Potassium nitrate variant 988 variant 677 variant 421 variant 283,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Microcrystalline cellulose variant 411 variant 873 variant 538,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium aluminosilicate variant 282 variant 626 variant 668 variant 815 variant 162 variant 891 variant 532 variant 429,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Propylene glycol alginate variant 376 variant 864,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium aluminosilicate variant 162,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Potassium sorbate variant 716 variant 562 variant 931 variant 300,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Maltodextrin variant 546 variant 975 variant 714,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Maltodextrin variant 546 variant 127 variant 721,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Mustard oil variant 728 variant 634,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Cinnamon variant 937 variant 692 variant 805 variant 225 variant 634,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Propionate preservative variant 424 variant 691 variant 74,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Cocoa powder variant 906,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Color Red 40 variant 142,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Ginger variant 728 variant 893 variant 705 variant 748,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Propionate preservative variant 918 variant 446 variant 76,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Black salt variant 236 variant 503,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Chemical stabilizer variant 442 variant 985 variant 746,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Isinglass variant 18 variant 989,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium ascorbate variant 99,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Xanthan gum variant 138 variant 501 variant 738,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium citrate variant 203 variant 532 variant 305 variant 427 variant 899,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Niacinamide variant 547 variant 498 variant 502,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Propylene glycol variant 925,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Ammonium bicarbonate,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Microcrystalline cellulose variant 411 variant 873,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Propylene glycol variant 925 variant 724 variant 120 variant 545,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Pea protein variant 430 variant 776 variant 873,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Artificial butter flavor,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Potassium sorbate solution variant 852 variant 903 variant 893,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Polydextrose variant 791 variant 201,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Ginger variant 728 variant 893 variant 705 variant 102 variant 80,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
"Artificial color (E102, E110) variant 191 variant 215",Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Propionate preservative variant 482 variant 267 variant 313,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Triethyl citrate variant 601 variant 496,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium tartrate variant 71,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Riboflavin variant 275 variant 624 variant 147 variant 727,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Ginger extract variant 44 variant 513 variant 12 variant 283,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sea salt variant 201,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Propylene glycol variant 925 variant 724 variant 120 variant 545 variant 720,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Isomaltooligosaccharides variant 936 variant 304,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Preservative 211 variant 4,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Polydextrose variant 452,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium benzoate variant 138,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Folic acid variant 431,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Cold pressed coconut oil variant 370,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium citrate variant 203 variant 532 variant 305 variant 427 variant 50 variant 983,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Brown sugar variant 180 variant 860 variant 639 variant 828,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Microcrystalline cellulose variant 411 variant 972 variant 965,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Acesulfame potassium variant 948 variant 44 variant 695 variant 645 variant 167,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Color Red 40 variant 148 variant 557 variant 739,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium citrate variant 203 variant 532 variant 305,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Niacinamide variant 972 variant 490 variant 881,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium aluminosilicate variant 282 variant 626 variant 668 variant 626 variant 152 variant 171,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Rock salt variant 675 variant 148 variant 790 variant 720,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Carboxymethylcellulose variant 530 variant 827,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Rock salt variant 675 variant 906 variant 73 variant 936 variant 203,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Erythrosine variant 331,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Potassium sorbate solution variant 282,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Sorbitol variant 553,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Wheat germ variant 379 variant 422 variant 618,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Benzoyl peroxide variant 30,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Garlic variant 165 variant 682 variant 848,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Cinnamon variant 524,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Amla extract variant 713 variant 494,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Color Red 40 variant 142 variant 834 variant 36,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Fenugreek variant 14 variant 637,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Acesulfame potassium,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Acesulfame potassium variant 948 variant 44,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Turmeric oleoresin variant 572 variant 434 variant 377,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Maltodextrin variant 546 variant 634 variant 66,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Color Blue 1 variant 877,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Maltodextrin variant 546 variant 634,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Vegetable fiber variant 71,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Xanthan gum variant 320 variant 420,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Mustard oil variant 655 variant 609 variant 20,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Coriander variant 920,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Pea protein variant 933 variant 458 variant 834 variant 325,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Acesulfame potassium variant 948 variant 44 variant 269,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Artificial butter flavor variant 510 variant 444,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Dimethylpolysiloxane variant 398 variant 142 variant 468,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Cinnamon variant 937,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Aluminium ammonium sulfate variant 597 variant 515,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Guar gum variant 68,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium acetate variant 628 variant 187 variant 233 variant 828 variant 717,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Rock salt variant 124 variant 78 variant 591,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Garlic variant 46 variant 286,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Isobutyl acetate variant 464 variant 690,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Mineral oil,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium citrate variant 203 variant 507 variant 977,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium aluminosilicate variant 282 variant 626 variant 622 variant 199,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Ginger variant 728 variant 773,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Synthetic emulsifier variant 901,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Garlic variant 46 variant 356 variant 297,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Paneer solids variant 458 variant 57 variant 311,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Tapioca starch,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Fenugreek,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium benzoate variant 650 variant 150 variant 893 variant 651,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Milk solids variant 336 variant 492 variant 994 variant 730,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Beta carotene variant 374,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Cold pressed coconut oil variant 921 variant 221,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Flax seeds variant 853 variant 313 variant 336,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Dimethylpolysiloxane variant 170 variant 343 variant 129 variant 111,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium aluminosilicate variant 162 variant 743 variant 668 variant 644,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Formaldehyde,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Phosphoric acid variant 69,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium aluminosilicate variant 737 variant 145,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Ginger extract variant 44,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Rock salt variant 675 variant 906 variant 73 variant 936 variant 821,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Turmeric oleoresin variant 956 variant 342,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium nitrite variant 854 variant 656 variant 514 variant 868,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Ferric pyrophosphate variant 432 variant 267,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Sodium benzoate variant 650 variant 150,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Disodium inosinate,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium acetate variant 628 variant 812,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Potassium sorbate variant 716 variant 562 variant 608 variant 111,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Pea protein variant 599,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Monosodium glutamate variant 85,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Phosphoric acid variant 975 variant 635,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Sesame seeds,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Disodium inosinate variant 712,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Maltodextrin variant 360,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Oats variant 219 variant 275,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Trans fat variant 955,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Ammonium bicarbonate variant 565 variant 764 variant 768 variant 732,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Propyl gallate variant 327,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Chemical stabilizer variant 442 variant 911,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Sodium aluminosilicate variant 737,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Calcium propionate variant 89 variant 989,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium caseinate variant 57,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Cocoa powder variant 744 variant 45 variant 24,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sea salt variant 655,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Black pepper,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Paneer solids variant 458 variant 57 variant 116,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Artificial butter flavor variant 510 variant 225,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Rice flour variant 84 variant 251 variant 853 variant 138,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Dimethylpolysiloxane variant 170 variant 343 variant 129 variant 581 variant 467,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Cinnamon variant 59 variant 520 variant 417 variant 4,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
